armiger,image_url,blazon,artist,date_granted
Eno,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Eno.vaakuna.svg/75px-Eno.vaakuna.svg.png,"Hopeakentässä punaisella kolmoisvuorella seisova musta, punakielinen majava, olallaan punavartinen, musta kirves.",Ahti Hammar,15. huhtikuuta 1955
Eräjärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Er%C3%A4j%C3%A4rvi.vaakuna.svg/75px-Er%C3%A4j%C3%A4rvi.vaakuna.svg.png,"Punaisessa kentässä kolme hopeista, puusta tehtyä ongenkoukkua vieretysten.",Gustaf von Numers,10. huhtikuuta 1962
Eurajoki,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Eurajoki.vaakuna.svg/75px-Eurajoki.vaakuna.svg.png,"Kultakentässä punainen, kilven toisesta reunasta toiseen ulottuva, sakarainen, alapuolella aaltokoron rajoittama muuri, josta nousee musta rapu pidellen saksissaan sinistä nahkiaista.",Gustaf von Numers,26. tammikuuta 1950
Forssa,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Forssa.vaakuna.1962.svg/75px-Forssa.vaakuna.1962.svg.png,Aaltokoron jakaman kilven hopeaisessa yläkentässä punainen nimikirjain F ja koron yllä kolme sinistä aaltoviivaa. Sinisessä alakentässä hopeainen vesipyörä.,,9. toukokuuta 1947
Haapasaari,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Haapasaari.vaakuna.svg/75px-Haapasaari.vaakuna.svg.png,Sinisessä kentässä kolme hopeapuikkaria alatusten.,Kimmo Kara,11. joulukuuta 1957
Halikko,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Halikko_vaakuna.svg/75px-Halikko_vaakuna.svg.png,"Punaisessa kentässä kultatammi ja sakarakoroinen kultalakio, jossa musta sarvi.",Olof Eriksson,12. helmikuuta 1953
Hauho,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Hauho.vaakuna.svg/75px-Hauho.vaakuna.svg.png,Punaisessa kentässä neljä juoksevaa hopeaoravaa alatusten.,Olof Eriksson,30. marraskuuta 1951
Haukipudas,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Haukipudas.vaakuna.svg/120px-Haukipudas.vaakuna.svg.png,"Sinisessä kentässä alakkain kolme uivaa hopeahaukea, joiden varukset punaiset; alapuolella sahakoroinen hopeatyviö.",Olof Eriksson,11. helmikuuta 1952
Haukivuori,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Haukivuori.vaakuna.svg/75px-Haukivuori.vaakuna.svg.png,Mustassa kentässä kolmoisvuoren yläpuolella hauki; kaikki kultaa.,Olof Eriksson,15. helmikuuta 1955
Heinola,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Heinola_vaakuna_1842.jpg/75px-Heinola_vaakuna_1842.jpg,"Sinisessä yliskentässä vuosiluku 1843 ja numerojen välissä H-kirjain, molemmat kullanvärisiä. Sen alapuolella punaisessa kentässä kultainen ilves. Eläimen yläpuolella kolme viisisakaraista kullanväristä tähteä, alapuolella kolme kullanväristä ruusua.",,27. heinäkuuta 1842
Heinolan maalaiskunta,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Heinolan.maalaiskunta.vaakuna.svg/75px-Heinolan.maalaiskunta.vaakuna.svg.png,"Punaisessa kentässä paaluittain kaksi reenjalasta, joita yhdistää kaksi päällikkäistä poikkipuuta; kaikki hopeaa.",Kaj Kajander,1. lokakuuta 1968
Hiittinen,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Hiittinen.vaakuna.svg/75px-Hiittinen.vaakuna.svg.png,"Punaisessa kentässä kultahirsi, jossa kaksi toisistaan poispäin suunnattua kolmikärkistä sinistä atraimenterää, joilla on yhteinen varsi.",Gustaf von Numers,8. lokakuuta 1964
Himanka,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Himanka.vaakuna.svg/75px-Himanka.vaakuna.svg.png,"Kultakentässä sininen, kaksimastoinen kaljaasi.",Gustaf von Numers,12. joulukuuta 1958
Hinnerjoki,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Hinnerjoki.vaakuna.svg/120px-Hinnerjoki.vaakuna.svg.png,"Sinisessä kentässä vieretysten kolme hopeista, paaluittaista, kivistä vasarakirveen päätä.",Gustaf von Numers,4. toukokuuta 1953
Honkajoki,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Honkajoki.vaakuna.svg/75px-Honkajoki.vaakuna.svg.png,"Sinisessä kentässä kaksikorvainen kultainen haarikka, jonka yläpuolella seitsenkärkinen hopeatähti.",Ahti Hammar,12. joulukuuta 1952
Honkilahti,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Honkilahti.vaakuna.svg/75px-Honkilahti.vaakuna.svg.png,"Hopeakentässä vihreä kuusi, sen alla vihreä, aaltokoroinen tyviö, jossa hopeinen uiva siika.",Gustaf von Numers,12. maaliskuuta 1951
Houtskari,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Houtskari_vaakuna.svg/120px-Houtskari_vaakuna.svg.png,"Hopeakentässä punainen kolmimastoinen hansalaiva purjehtimassa aaltokoroisella sinisellä tyviöllä, jossa kolme hopeista kalaa järjestettynä 2 + 1.",Gustaf von Numers,11. syyskuuta 1951
Hyvinkään maalaiskunta,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Hyvink%C3%A4%C3%A4n_mlk.vaakuna.svg/75px-Hyvink%C3%A4%C3%A4n_mlk.vaakuna.svg.png,"Sinisessä kentässä hopeinen uusikuu, jonka yläpuolella kultainen kruunu.",Olof Eriksson,29. kesäkuuta 1953
Hämeenkoski,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/H%C3%A4meenkoski.vaakuna.svg/75px-H%C3%A4meenkoski.vaakuna.svg.png,"Punaisessa kilvessä kaksi hopeapalkkia, joissa kummassakin kaksi mustaa kaateista polviortta; palkkien välissä kolme hopeista palkeittaista apilanlehteä.",Antti Salmenlinna,1. huhtikuuta 1952
Hämeenlinna,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/H%C3%A4meenlinna.vaakuna.vanha.svg/120px-H%C3%A4meenlinna.vaakuna.vanha.svg.png,,,1800-luku
Ii,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Ii.vaakuna.svg/75px-Ii.vaakuna.svg.png,"Kulta-sinikatkoinen kilpi; yläkentässä sininen orsivaaka, alakentässä reunoihin ulottuva kultaverkko.",Kaj Kajander,9. helmikuuta 1966
Iisalmi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Iisalmi_vaakuna_1894.jpg/75px-Iisalmi_vaakuna_1894.jpg,"Sinisen virran katkaisema kilpi. Mustassa yläkentässä pystyssä jännitetty kullanvärinen jousi, jonka jänne on hopeanvärinen. Jousessa kullanvärinen nuoli, jonka kärki ja sulitettu pyrstö ovat hopeanväriset. Kullanvärisessä alakentässä ristissä kaksi mustaa kirvestä. Niiden välissä neljä mustaa ruusua asetettuina 1 + 2 + 1.",Jac. Ahrenberg,27. elokuuta 1894
Iisalmen maalaiskunta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Iisalmen_mlk.vaakuna.svg/75px-Iisalmen_mlk.vaakuna.svg.png,"Mustassa kentässä vieretysten kolme hopeakynttilää, joiden liekit kultaa.",Olof Eriksson,20. syyskuuta 1954
Ikaalisten epäitsenäinen kauppala,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ikaalinen.vaakuna.1961.svg/75px-Ikaalinen.vaakuna.1961.svg.png,"Sinisessä kentässä hopeinen aaltokoroinen paalu, josta versoo kummallekin puolen kolme kultaista lehmuksen lehteä.",Pentti Papunen,16. lokakuuta 1961
Ikaalisten maalaiskunta,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Ikaalinen.vaakuna.svg/75px-Ikaalinen.vaakuna.svg.png,"Kultaisesa kentässä sininen paalu, jossa kolme hopeista airoa vieretysten.",Pentti Papunen,17. huhtikuuta 1956
Iniö,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Ini%C3%B6.vaakuna.svg/75px-Ini%C3%B6.vaakuna.svg.png,"Punaisessa kentässä reunoihin ulottuva verkko, jonka päällikkeenä paalu; molemmat kultaa.",Gustaf von Numers,26. lokakuuta 1956
Jaala,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Jaala.vaakuna.svg/75px-Jaala.vaakuna.svg.png,"Sinisessä kentässä pystyssä kultatynnyri, josta nousee kolme hopeista lohenpyrstöä.",Ahti Hammar,19. maaliskuuta 1968
Jalasjärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Jalasj%C3%A4rvi.vaakuna.svg/75px-Jalasj%C3%A4rvi.vaakuna.svg.png,"Sinisessä kentässä kaksi hopeista, punanorkkoista koivua.",Ahti Hammar,30. marraskuuta 1951
Jepua,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Jepua.vaakuna.svg/120px-Jepua.vaakuna.svg.png,Punaisessa kentässä kultaiset länget.,Gustaf von Numers,28. joulukuuta 1965
Joensuu,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Joensuu.vaakuna.1850.svg/75px-Joensuu.vaakuna.1850.svg.png,Katkoisen kilven sinisessä yläkentässä vaakasuoran hopeavirran yläpuolella keisarinkruunu ja virran alapuolella kaupungin perustamispäivämäärä 18 29/XI 48. Punaisessa alakentässä Karjalan tunnuskuva.,,2. toukokuuta 1850
Joensuu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Joensuu.vaakuna.1923.svg/75px-Joensuu.vaakuna.1923.svg.png,"Kilpi, jonka oikeasta yläkulmasta viistosti vasempaan alakulmaan jakaa kahteen kenttään sininen hopealaineinen, alapäässä avartuva virta. Kilven yläkentässä, joka on punainen, on vasempaan päin suunnattu, sotisopaan puettu käsivarsi, aseena lyömäasennossa oleva kultakahvainen miekka, sekä alakentässä, joka on musta, kultainen honka. Kilven yläpuolella lepää muurikruunu, josta kilven kummallekin sivulle laskeutuu viheriät kultakoristeiset ja kultakäpyiset kuusenoksat, sekä lähtee valkoiset sinireunaiset nauhat, joissa on roomalaisilla numeroilla vuosiluku 1848 kilven oikealla ja 1923 sen vasemmalla puolella.",Eric O. W. Ehrström,26. tammikuuta 1923
Joutseno,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Joutseno.vaakuna.svg/75px-Joutseno.vaakuna.svg.png,"Punaisessa kentässä hopeinen kultavaruksinen joutsen siivet koholla uimassa hopeisella, aaltokoroisella tyviöllä, jossa musta aaltokoroinen hirsi.",Gustaf von Numers,2. tammikuuta 1951
Juankoski,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Juankoski.vaakuna.svg/75px-Juankoski.vaakuna.svg.png,"Mustassa kentässä alainen, yläpuoleltaan sakarakoroinen ja alapuoleltaan aaltokoroinen hopeahirsi; sakaroista, joita on näkyvissä kolme, nousee hopea-punainen tulenlieska.",Arvi Rannanheimo,10. joulukuuta 1957
Jurva,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Jurva.vaakuna.svg/75px-Jurva.vaakuna.svg.png,"Sinisessä kentässä hopeinen siivitetty höylä, saatteena kilven kummassakin kulmassa ja alaosassa kulta-apilat.",Olof Eriksson,15. helmikuuta 1955
Jyväskylä,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Jyv%C3%A4skyl%C3%A4.vaakuna.1838.svg/75px-Jyv%C3%A4skyl%C3%A4.vaakuna.1838.svg.png,Katkoisen kilven sinisessä yläkentässä keisarillisen kruunun kruunaama N-kirjain ja sen alla kaupungin perustamisvuosi roomalaisilla numeroilla. Hopeanvärisessä alakentässä vinoon ristissä perämela ja Merkuriuksen sauva. Alakentän esineet ovat luonnonvärisiä.,,15. marraskuuta 1838
Jyväskylän maalaiskunta,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Jyv%C3%A4skyl%C3%A4n_mlk.vaakuna.svg/75px-Jyv%C3%A4skyl%C3%A4n_mlk.vaakuna.svg.png,"Punaisessa kentässä hammaspyörän puolikas, yläpuolella kolme tähkää, kaikki kultaa.",Tapio Vallioja,10. heinäkuuta 1954
Jämsä,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/J%C3%A4ms%C3%A4.vaakuna.svg/120px-J%C3%A4ms%C3%A4.vaakuna.svg.png,"Punaisessa kentässä nauhalla sidottunuolikimppu[vanhentunut linkki], nuolet hopeaa, kärjet, sulat ja nauha kultaa; nuolikimppua ympäröi reunuksittainen hopeinen ketju.",Gustaf von Numers,29. joulukuuta 1953
Jämsänkoski,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/J%C3%A4ms%C3%A4nkoski.vaakuna.svg/75px-J%C3%A4ms%C3%A4nkoski.vaakuna.svg.png,"Punaisessa kentässä siilinrauta, jota ympäröi reunuksittain ketju, molemmat hopeaa.",Gustaf von Numers,3. huhtikuuta 1954
Jäppilä,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/J%C3%A4ppil%C3%A4.vaakuna.svg/75px-J%C3%A4ppil%C3%A4.vaakuna.svg.png,Mustassa kentässä pystyssä kultahaahlat.,Erkki Karttunen,7. kesäkuuta 1958
Kaarina,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Kaarina.vaakuna.svg/75px-Kaarina.vaakuna.svg.png,"Punaisessa kentässä hopeinen, yläreunaltaan rikottu teilausratas; päällikkeenä Pyhä Katariina, oikeassa kädessään miekka ja kohotetussa vasemmassa kädessään avonainen kirja; kaikki kultaa.",Ahti Hammar,13. kesäkuuta 1955
Kaarlela,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Kaarlela.vaakuna.svg/75px-Kaarlela.vaakuna.svg.png,"Sinisessä kentässä hopeinen, kultavaruksinen näätä pystyasennossa ja sen yläpuolella kolme kultakruunua vieretysten.",Gustaf von Numers,12. helmikuuta 1963
Kajaanin maalaiskunta,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Kajaanin_mlk.vaakuna.svg/75px-Kajaanin_mlk.vaakuna.svg.png,Sinisessä kentässä yläreunaltaan sakarakoroinen ja alareunaltaan kuusikoroinen hopeahirsi.,Kaj Kajander,21. syyskuuta 1966
Kakskerta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Kakskerta.vaakuna.svg/120px-Kakskerta.vaakuna.svg.png,"Kultakentässä kaksi mustaa, peräsimellä varustettua venettä hirsittäin alatusten, kummassakin veneessä punainen porraspäädyn muotoinen tiilipino.",Ahti Hammar,5. kesäkuuta 1957
Kalajoki,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Kalajoki.vaakuna.svg/75px-Kalajoki.vaakuna.svg.png,"Sinisessä kentässä reunoihin ulottuva kultainen verkko, jonka päällä uiva, hopeinen lohi.",Olof Eriksson,20. huhtikuuta 1953
Kalanti,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Kalanti_vaakuna.svg/75px-Kalanti_vaakuna.svg.png,"Punaisessa kilvessä aaltokoroinen hopeahirsi. Yläkentässä kultainen, mustalla raudoituksella varustettu matkavakka. Alakentässä kultainen koukkuaura, jonka kärki on musta.",A. W. Rancken,21. huhtikuuta 1951
Kalvola,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Kalvola.vaakuna.svg/75px-Kalvola.vaakuna.svg.png,"Punaisessa kentässä alainen hirsi ja sen yläpuolella kaksi piilukirvestä ristikkäin, kaikki hopeaa.",Olof Eriksson,12. joulukuuta 1952
Kangaslampi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kangaslampi.vaakuna.svg/75px-Kangaslampi.vaakuna.svg.png,Mustassa kentässä kultainen vesilehti.,Kaj Kajander,4. marraskuuta 1965
Karhula,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Karhula.vaakuna.svg/75px-Karhula.vaakuna.svg.png,"Hopeakentässä selätysten kaksi mustaa, punavaruksista karhua, kummallakin etukäpälässä musta vasara.",Ahti Hammar,10. marraskuuta 1955
Karinainen,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Karinainen.vaakuna.svg/75px-Karinainen.vaakuna.svg.png,"Punaisessa kentässä kultainen irtoristi, jonka yläsakara on kolmihaaraisen havunoksan muotoinen.",Gustaf von Numers,12. maaliskuuta 1969
Karjaa,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Karjaa.vaakuna.svg/75px-Karjaa.vaakuna.svg.png,"Sinisessä kilvessä kultainen kolmitorninen linna hopeavuorella, joka ulottuu kilven alareunaan saakka. Vuoressa on poikittain juokseva virta, sen alla sinisessä ympyrässä kuusipuolainen kultaratas.",Hilding Ekelund,23. heinäkuuta 1943
Karjaan maalaiskunta,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Karjaan_mlk.vaakuna.svg/75px-Karjaan_mlk.vaakuna.svg.png,"Aaltokorokatkoisen kilven punaisessa yläkentässä kolme kultaista sakaroitua muuria asetettuina 1 + 2, sen hopeisessa alakentässä musta, aaltokoroinen tyvikenttä, jossa kultainen raudan merkki.",Gunnar Forsström,6. helmikuuta 1950
Karjala,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Karjala.vaakuna.svg/75px-Karjala.vaakuna.svg.png,Punaisessa kentässä kultainen leili.,Kaj Kajander,5. lokakuuta 1964
Karjalohja,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Karjalohja.vaakuna.svg/75px-Karjalohja.vaakuna.svg.png,"Sinisessä kentässä kolmilehtinen, haaruristin muotoinen koivunoksa, jonka yläpuolella kuusisakarainen tähti, kaikki kultaa.",Toivo Vuorela,4. helmikuuta 1965
Karkku,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Karkku.vaakuna.svg/120px-Karkku.vaakuna.svg.png,"Sinisessä kentässä kultainen, ulkoreunaltaan ristikoroinen vihkiristi.",Lauri Ahlgrén,12. helmikuuta 1963
Karttula,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Karttula.vaakuna.svg/75px-Karttula.vaakuna.svg.png,"Sinisessä kentässä kanto, josta kasvaa kummallekin puolelle koivunverso; kaikki hopeisia.",Aake Kaarnama,4. helmikuuta 1965
Karuna,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Karuna.vaakuna.svg/120px-Karuna.vaakuna.svg.png,"Punaisessa kentässä esiin työntyvä, hopeinen käsivarsi pidellen kultaisessa jalassa palavaa hopeakynttilää, liekki kultaa.",Gustaf von Numers,20. toukokuuta 1959
Karunki,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Karunki.vaakuna.svg/75px-Karunki.vaakuna.svg.png,"Vihreässä kentässä aaltokoroinen hopeapieli ja kolme hopeista, punavaruksista, uivaa siikaa alatusten.",Ahti Hammar,28. tammikuuta 1956
Kauhava,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kauhava.vaakuna.svg/75px-Kauhava.vaakuna.svg.png,"Sinisessä kentässä kultainen, hopeahelainen tuppipuukko kärki alaspäin, saatteena sen kummallakin puolella kaksi kultaista tulusrautaa.",Ahti Hammar,17. lokakuuta 1952
Kauvatsa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Kauvatsa.vaakuna.svg/75px-Kauvatsa.vaakuna.svg.png,"Kulta-sinikatkoisen kilven yläkentässä musta, punavaruksinen silkkiuikun pää, alakentässä kolme kultanaurista lehtineen ryhmitettyinä 2 + 1.",Gustaf von Numers,21. huhtikuuta 1951
Keikyä,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Keiky%C3%A4.vaakuna.svg/75px-Keiky%C3%A4.vaakuna.svg.png,"Sinisessä kentässä reunasta reunaan ulottuva yksikaarinen, yläreunaltaan sakarakoroinen silta, jonka alapuolella hammasratas; kaikki hopeaa.",Heikki Paaer,26. lokakuuta 1956
Kemijärven maalaiskunta,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kemij%C3%A4rvi.vaakuna.svg/75px-Kemij%C3%A4rvi.vaakuna.svg.png,"Mustassa kentässä kanto, jonka yläpää teroitettu kolmikärkiseksi ja sen molemmin puolin saatteena kuusisakarainen tähti; kaikki hopeaa.",Olof Eriksson,3. huhtikuuta 1954
Kemijärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Kemij%C3%A4rvi.vaakuna.1960.svg/75px-Kemij%C3%A4rvi.vaakuna.1960.svg.png,Punaisessa kentässä kaksi siivekästä hopeista uittohaan terää ristikkäin.,Ahti Hammar,25. marraskuuta 1960
Kemiö,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Kemi%C3%B6.vaakuna.svg/75px-Kemi%C3%B6.vaakuna.svg.png,Kilpi lehmuskoroisesti puna-kultakatkoinen.,Gustaf von Numers,24. syyskuuta 1963
Kerava,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Kerava.vaakuna.1955.svg/120px-Kerava.vaakuna.1955.svg.png,"Vaakunassa on poikkijakoisen kilven hopeisessa yläkentässä punainen nimikirjain K ja vihreässä alakentässä, josta nousee seitsemän vihreätä kuusta, hopeinen hammaspyörä.",Ilmari Tapiovaara,1. marraskuuta 1946
Kerimäki,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Kerim%C3%A4ki.vaakuna.svg/75px-Kerim%C3%A4ki.vaakuna.svg.png,"Aaltokorokatkoisen kilven mustassa yläkentässä kultainen kirkonkello, sen kultaisessa alakentässä musta, reunoihin ulottuva verkko.",Gustaf von Numers,17. huhtikuuta 1951
Kestilä,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Kestil%C3%A4.vaakuna.svg/75px-Kestil%C3%A4.vaakuna.svg.png,Punaisessa kentässä ristikkäin kaksi hopeista puulusikkaa.,Kaj Kajander,21. heinäkuuta 1967
Kesälahti,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Kes%C3%A4lahti.vaakuna.svg/75px-Kes%C3%A4lahti.vaakuna.svg.png,"Mustassa kentässä hopeinen aaltokoroinen kärki, jossa kolme viisilehtistä punaista kukkaa asetettuina 1 + 2.",Heikki Paaer,3. helmikuuta 1956
