armiger,image_url,blazon,artist,date_granted
Harjavalta,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Harjavalta.vaakuna.svg/120px-Harjavalta.vaakuna.svg.png,"Sinisessä kentässä salamakimppu paaluittain, saatteena sen kummallakin puolella kaksi vinoristiä keskenään hirsittäin, kaikki kultaa.",Ahti Hammar,11. helmikuuta 1952
Hartola,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Hartola.vaakuna.svg/75px-Hartola.vaakuna.svg.png,Punaisessa kentässä ristikkäin kaksi palavaa soihtua ja niiden yläpuolella kruunu; kaikki kultaa paitsi soihtujen liekit hopeaa.,Kaj Kajander,11. heinäkuuta 1966
Hattula,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hattula.vaakuna.svg/75px-Hattula.vaakuna.svg.png,"Punaisessa kentässä reunoihin ulottuva yksikaarinen silta, jonka yläpuolella kreikkalainen risti, molemmat kultaa.",Erkki Karttunen,12. maaliskuuta 1957
Hausjärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Hausj%C3%A4rvi.vaakuna.svg/120px-Hausj%C3%A4rvi.vaakuna.svg.png,"Punaisessa kentässä vinoristi ja lakipisteessä tähti, kaikki hopeaa.",Olof Eriksson,20. huhtikuuta 1953
Heinola,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Heinola.vaakuna.svg/75px-Heinola.vaakuna.svg.png,"Punaisessa kentässä alainen, alapuoleltaan kaarikoroinen hopeahirsi, jonka päällä kävelee kultainen ilves, varukset siniset, korvatöyhdöt mustat.",Gustaf von Numers,11. marraskuuta 1958
Heinävesi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Hein%C3%A4vesi.vaakuna.svg/75px-Hein%C3%A4vesi.vaakuna.svg.png,"Vihreässä kentässä aaltokoroinen hopeinen vastapalkki, jossa alatusten kolme kultaisilla ketjuilla sidottua vihreätä tukkilauttaa; vastapalkin yläpuolella kultainen ruoriratas.",Pauli Numminen,19. maaliskuuta 1959
Helsinki,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Helsinki.vaakuna.svg/75px-Helsinki.vaakuna.svg.png,"Sinisessä kentässä kultainen vene uimassa hopeisella, aaltokoroisella tyviöllä; veneen yläpuolella saatteena kultakruunu.",A. W. Rancken(piirtänyt uudelleen),30. elokuuta 1951
Hirvensalmi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hirvensalmi.vaakuna.svg/75px-Hirvensalmi.vaakuna.svg.png,"Kultakentässä musta, kävelevä hirvi, kaviot punaiset.",Gustaf von Numers,20. huhtikuuta 1953
Hollola,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Hollola.vaakuna.svg/75px-Hollola.vaakuna.svg.png,"Punaisessa kentässä kohtikatsova hirvenpää ja sen alapuolella ruiskuhilas; molemmat kultaa, saatteena viisi hopeista naularistiä, joista yksi hirvenpään yläpuolella ja kaksi päätunnuskuvien molemmin puolin.",Carolus Lindberg,3. marraskuuta 1952
Huittinen,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Huittisten.vaakuna.svg/75px-Huittisten.vaakuna.svg.png,Vihreässä kentässä kaksi kultaista häränotsaa alakkain.,Erkki Honkanen,19. kesäkuuta 1953
Humppila,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Humppilan_vaakuna.svg/120px-Humppilan_vaakuna.svg.png,Kultakentässä tyvestä nousevasta katoksesta riippuva ruokakello; kaikki mustaa.,Risto Sulonen jaOlof Eriksson,25. syyskuuta 1957
Hyrynsalmi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Hyrynsalmi.vaakuna.svg/75px-Hyrynsalmi.vaakuna.svg.png,"Hopeisessa kentässä sininen aaltokoroinen paalu, jossa kultainen tervatynnyri.",A. Liuksiala,8. kesäkuuta 1968
Hyvinkää,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Hyvinkaa.vaakuna.svg/75px-Hyvinkaa.vaakuna.svg.png,"Sinisessä kentässä kolme hirsittäin asetettua, keskenään paaluittain järjestettyä kultasyöstävää, joiden kärjet ja langat hopeaa.",Olof Eriksson,11. joulukuuta 1950
Hämeenkyrö,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/H%C3%A4meenkyr%C3%B6.vaakuna.svg/75px-H%C3%A4meenkyr%C3%B6.vaakuna.svg.png,"Kultakentässä puna-sinikatkoinen juomasarvi, jalka ja heloitus hopeaa, suu oikealle, sarven yläpuolella sininen, liekkikoroinen lakio, jossa kuusisakarainen kultatähti.",Gustaf von Numers,29. joulukuuta 1954
Hämeenlinna,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/H%C3%A4meenlinna.vaakuna.svg/120px-H%C3%A4meenlinna.vaakuna.svg.png,"Punaisessa kentässä alareunaltaan aaltokoroinen, kilven reunasta toiseen ulottuva muuri, josta nousee kaksi jyrkkäkattoista tornia ja näiden välissä rakennus, kaikki hopeaa, ikkuna-aukot ovat mustat ja linnan yläpuolella saatteena kultaiset auringonkasvot.",Gustaf von Numers(vanhan vaakunan pohjalta),21. syyskuuta 1956
Ii,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Kuivaniemi.vaakuna.svg/75px-Kuivaniemi.vaakuna.svg.png,Hopea kentässä aaltokoroinen vasen pieli ja hylje; molemmat sinisiä.,Kaj Kajander,1. tammikuuta 2007
Iisalmi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Iisalmi.vaakuna.svg/120px-Iisalmi.vaakuna.svg.png,"Aaltokoroisesti musta-kultakatkoinen kilpi, jonka yläkentässä pystyssä jännitetty käsijousi, kokonaan kultaa, ja alakentässä kaksi piilukirvestä ristikkäin ja niiden varsien ympärillä saatteena neljä ruusua asetettuina 1 + 2 + 1, kaikki mustia.",Ahti Hammar(vanhan vaakunan pohjalta),24. syyskuuta 1964
Iitti,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Iitti.vaakuna.svg/75px-Iitti.vaakuna.svg.png,"Mustassa kentässä aaltokoroinen hopeahirsi, päällikkeenä paaluittainen kaksilehtinen kulta-avain.",Ahti Hammar,3. maaliskuuta 1953
Ikaalinen,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Ikaalinen.vaakuna.svg/75px-Ikaalinen.vaakuna.svg.png,Kultaisten pielten rajoittamassa sinisessä kentässä kolme hopeista airoa lavat ylöspäin.,Pentti Papunen,1. tammikuuta 1972
Ilmajoki,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Ilmajoki.vaakuna.svg/120px-Ilmajoki.vaakuna.svg.png,"Katkoisen kilven hopeisessa yläkentässä musta karhunpää edestäpäin. Sinisessä alakentässä kaksi hopeista puunuijaa ristissä, niiden alakulmassa jalkajousen muotoinen hopeinen puumerkki; jousen kaksikaarteinen virittäjä vastapalkeittain tukin päällä, yläpää kiinni jänteessä.",Ahti Hammar,25. lokakuuta 1950
Ilomantsi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Ilomantsi.vaakuna.svg/75px-Ilomantsi.vaakuna.svg.png,Puna-mustahalkoisessa kilvessä kolme hopeista viisikielistä kannelta vieretysten; kielet mustia.,Ahti Hammar,24. marraskuuta 1954
Imatra,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Imatra.vaakuna.svg/120px-Imatra.vaakuna.svg.png,Punaisessa kentässä kolme pystyasentoon asetettua kahtaalle suuntautuvaa yksipolvekkeista nuolenmuotoista kultakärkistä hopeasalamaa.,Olof Eriksson,25. lokakuuta 1960
Inari,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Inari.vaakuna.svg/120px-Inari.vaakuna.svg.png,Mustassa kentässä uiva hopeinen siika päässään kultaiset sarvet.,Ahti Hammar,25. helmikuuta 1955
Inkoo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Inkoo.vaakuna.svg/75px-Inkoo.vaakuna.svg.png,"Kilpi aaltokoroisesti kulta-sinikatkoinen; yläkentässä punainen vihkiristi, alakentässä palkeittain asetettu kulta-ankkuri.",A. W. Rancken,17. huhtikuuta 1951
Isojoki,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Isojoki.vaakuna.svg/75px-Isojoki.vaakuna.svg.png,"Mustassa kentässä hopeinen paalu, jossa punainen tähkä.",Pentti Vakkamaa,11. tammikuuta 1966
Isokyrö,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Isokyr%C3%B6.vaakuna.svg/75px-Isokyr%C3%B6.vaakuna.svg.png,"Kultakilvessä pystyssä musta karhu, jonka varukset (kieli, hampaat, kynnet) ovat punaiset, pidellen kämmenissään kuusentyveä.",Matti Visanti,7. heinäkuuta 1950
Janakkala,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Janakkala.vaakuna.svg/75px-Janakkala.vaakuna.svg.png,"Punaisessa kentässä edestäpäin kultainen ilveksenpää, jonka kieli sininen ja korvatöyhdöt mustat; yläpuolella sakarakoroinen kultalakio, jossa Mantovan risti ja sen molemmin puolin sitä kohti suuntautuva nuolenkärki; kaikki mustia.",Onni Oja,23. helmikuuta 1952
Joensuu,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Joensuu.vaakuna.svg/120px-Joensuu.vaakuna.svg.png,"Kilpi kahdesti lohkoinen, ylempänä vallikoro, alempana aaltokoro; kentät punainen, hopeinen ja musta.",Toivo Vuorela,19. marraskuuta 1957
Jokioinen,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Jokioinen.vaakuna.svg/120px-Jokioinen.vaakuna.svg.png,"Punaisessa kentässä aaltokoroinen hirsi, jonka yläpuolella kaksi vehnätähkää ristissä ja alapuolella alasin; kaikki kultaa.",Gustaf von Numers,21. syyskuuta 1951
Jomala,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Jomala.vapen.svg/75px-Jomala.vapen.svg.png,"Sinisessä kentässä Pyhä Olavi istumassa valtaistuimella pidellen valtakunnanomenaa ja sotakirvestä, kaikki kultaa.",Matts Dreijer,27. helmikuuta 1952
Joroinen,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Joroinen.vaakuna.svg/120px-Joroinen.vaakuna.svg.png,"Kultakentässä musta, punavaruksinen häränpää edestäpäin, saatteena kolme mustaa kuulaa, joista pään yläpuolella yksi ja kummallakin sivulla yksi.",Olof Eriksson,12. kesäkuuta 1953
Joutsa,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Joutsa.vaakuna.svg/75px-Joutsa.vaakuna.svg.png,"Punaisessa kentässä kuusikoroinen tyviö sekä hirsittäinen jousi, jonka päällikkeenä paaluittainen nuoli, jousen jänne ja nuolen kärki ja sulat kultaa, muu hopeaa.",Gustaf von Numers,10. marraskuuta 1955
Juuka,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Juuka.vaakuna.svg/120px-Juuka.vaakuna.svg.png,"Punaisessa kentässä hopeinen koivu, jonka norkot kultaiset.",Aake Kaarnama,24. marraskuuta 1952
Juupajoki,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Juupajoki.vaakuna.svg/75px-Juupajoki.vaakuna.svg.png,"Hopeakentässä punainen vuota, jossa kultainen havunoksa.",Olof Eriksson,26. huhtikuuta 1957
Juva,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Juva.vaakuna.svg/120px-Juva.vaakuna.svg.png,"Mustassa kentässä risti, saatteena oikeassa ylänurkassa apilan lehti; kaikki kultaa.",Tapio Vallioja,23. lokakuuta 1952
Jyväskylä,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Jyv%C3%A4skyl%C3%A4.vaakuna.svg/120px-Jyv%C3%A4skyl%C3%A4.vaakuna.svg.png,"Jaettu kilpi, jonka yläkentässä on hopeanvärinen merkurion sauva sinisellä pohjalla ja alakentässä hopeanvärisellä pohjalla luonnonvärisenä sisäjärviveneen keula suoraan edestä katsottuna sekä sen alla kolme sinistä aaltoviivaa.",Jussi Jäppinen(piirtänyt uudelleen),11. joulukuuta 1931
Jämijärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/J%C3%A4mij%C3%A4rvi.vaakuna.svg/75px-J%C3%A4mij%C3%A4rvi.vaakuna.svg.png,"Kultakentässä palkki, jonka kummallakin puolella saatteena palkeittain lentävä pääskynen, kaikki siniset.",Gustaf von Numers,26. huhtikuuta 1965
Jämsä,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/J%C3%A4ms%C3%A4nkoski.vaakuna.svg/75px-J%C3%A4ms%C3%A4nkoski.vaakuna.svg.png,"Punaisessa kentässä siilinrauta, jota ympäröi reunuksittain ketju, molemmat hopeaa.",Gustaf von Numers,1. tammikuuta 2009
Järvenpää,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Jarvenpaa.vaakuna.svg/75px-Jarvenpaa.vaakuna.svg.png,Sinisessä kentässä hopeinen siivekäs lyyra.,Olof Eriksson,10. helmikuuta 1956
Kaarina,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Piikki%C3%B6.vaakuna.svg/75px-Piikki%C3%B6.vaakuna.svg.png,"Punaisessa kentässä kolme nousevaa kultaista, apilakärkistä sudenhammasta.",Ahti Hammar,1. tammikuuta 2009
Kaavi,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Kaavi.vaakuna.svg/75px-Kaavi.vaakuna.svg.png,"Punaisessa kentässä hopeinen, aaltokoroinen kärki.",Kaj Kajander,21. helmikuuta 1956
Kajaani,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Kajaani.vaakuna.svg/75px-Kajaani.vaakuna.svg.png,"Sinisessä kentässä alaisesta aaltokoroisesta hopeahirrestä nouseva kultainen kaksitorninen linna, jonka ikkuna- ja oviaukot punaiset.",Olof Eriksson,30. kesäkuuta 1958
Kalajoki,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Himanka.vaakuna.svg/75px-Himanka.vaakuna.svg.png,"Kultakentässä sininen, kaksimastoinen kaljaasi.",Gustaf von Numers,1. tammikuuta 2010
Kangasala,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Kangasala.vaakuna.svg/120px-Kangasala.vaakuna.svg.png,"Hopeakentässä harppu, jonka yhdyspuu ja kaula muodostavat kotkakuvion, saatteena seitsemän pisaraa, asetettuina 2 + 2 + 2 + 1, kaikki punaisia. Hopeisessa, punaisilla pisaroina sirotellussa kentässä punainen, kotkakoristeinen harppu.",Olof Eriksson,11. syyskuuta 1951
Kangasniemi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Kangasniemi.vaakuna.svg/120px-Kangasniemi.vaakuna.svg.png,"Mustassa kentässä paaluttainen kultainen rukinlyhty, jossa lanka hopeaa.",Olof Eriksson,12. kesäkuuta 1953
Kankaanpää,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Kankaanp%C3%A4%C3%A4.vaakuna.svg/75px-Kankaanp%C3%A4%C3%A4.vaakuna.svg.png,"Sinisessä kentässä alainen, yläreunaltaan liekkikoroinen hopeahirsi, jonka päällikkeenä pystyssä kultamänty.",Carolus Lindberg,12. lokakuuta 1951
Kannonkoski,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Kannonkoski.vaakuna.svg/120px-Kannonkoski.vaakuna.svg.png,Punaisessa kentässä aaltokoroinen tyviö ja sen yläpuolella kanto; kaikki hopeaa.,Olof Eriksson,28. syyskuuta 1959
Kannus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Kannus.vaakuna.svg/75px-Kannus.vaakuna.svg.png,"Sinisessä kentässä paaluittainen noitarummun (kannuksen) vasara, sen varren kummallakin puolella kuusisakarainen kannustähti; kaikki hopeaa.",Gustaf von Numers,27. syyskuuta 1950
Karijoki,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Karijoki.vaakuna.svg/120px-Karijoki.vaakuna.svg.png,Kynsikoroisesti katkoinen sini-hopeakilpi.,Ahti Hammar,28. joulukuuta 1965
Karkkila,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Karkkila.vaakuna.svg/75px-Karkkila.vaakuna.svg.png,"Punaisessa kentässä liekkikoroinen tyviö, jonka yläpuolella kaksi vasaraa ristikkäin; kaikki kultaa.",Olof Eriksson,21. syyskuuta 1956
Karstula,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Karstula.vaakuna.svg/75px-Karstula.vaakuna.svg.png,"Punaisessa kentässä hopeinen, ankkuriristin muotoinen lukonhela, keskellä avaimenreikä.",Ahti Hammar,16. heinäkuuta 1953
Karvia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Karvia.vaakuna.svg/120px-Karvia.vaakuna.svg.png,"Sinisessä kentässä kuusikoroisen tyviön yläpuolella linnake, kaikki kultaa.",Olof Eriksson,28. maaliskuuta 1956
Kaskinen,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Kaskinen.vaakuna.svg/75px-Kaskinen.vaakuna.svg.png,"Halkoisen kilven oikeassa sinisessä kentässä hopeinen perämela, vasemmassa hopeisessa kentässä vihreä laakerinlehvä.",A. W. Rancken(piirtänyt uudelleen),9. huhtikuuta 1793
Kauhajoki,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Kauhajoki.vaakuna.svg/75px-Kauhajoki.vaakuna.svg.png,"Aaltokorokatkoisen kilven sinisessä yläkentässä kaksi hopeista puhemiehen nuijaa ristikkäin, hopeisessa alakentässä kohti katsova musta karhunpää, jonka kieli punainen.",Ahti Hammar,17. lokakuuta 1952
Kauhava,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Kauhava.vaakuna.2009.svg/75px-Kauhava.vaakuna.2009.svg.png,Sinisellä kilvellä kultainen irtonainen mantovanristi alapuolellaan kilven reunasta reunaan ulottuva punainen neliherttainen helavyö; helat ja hertat kultaa.,Reijo Helläkoski,1. tammikuuta 2009
Kauniainen,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Kauniainen.vaakuna.svg/120px-Kauniainen.vaakuna.svg.png,"Sinisessä kilvessä istuva, etukäpälissään mustaa kuusenkäpyä pitelevä kultainen, punavaruksinen orava, sen yläpuolella saatteena kolme kultaista ruusua vieretysten.",Ahto Numminen,11. maaliskuuta 1952
Kaustinen,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Kaustinen.vaakuna.svg/75px-Kaustinen.vaakuna.svg.png,Sinisessä kultaisin naularistein sirotellussa kentässä vastapalkeittain asetettu kultainen viulu.,Ilmari Wirkkala,25. lokakuuta 1950
Keitele,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Keitele.vaakuna.svg/75px-Keitele.vaakuna.svg.png,Mustassa kentässä kolme kultaista nuottavenettä alatusten.,Ahti Hammar,16. toukokuuta 1962
Kemi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Kemi.vaakuna.svg/120px-Kemi.vaakuna.svg.png,"Katkoisen kilven punaisessa yläkentässä hopeinen ankkuri, sinisessä alakentässä hopealohi.",G. A. Kajanus,28. toukokuuta 1873
Kemijärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kemij%C3%A4rvi.vaakuna.svg/75px-Kemij%C3%A4rvi.vaakuna.svg.png,"Mustassa kentässä kanto, jonka yläpää teroitettu kolmikärkiseksi ja sen molemmin puolin saatteena kuusisakarainen tähti, kaikki hopeaa.",Olof Eriksson,1. tammikuuta 1973
Keminmaa,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Keminmaa.vaakuna.svg/75px-Keminmaa.vaakuna.svg.png,"Punaisessa kentässä hyppäävä lohi, jonka leuassa riippulukko; kaikki hopeaa, paitsi lukossa musta avaimenreikä.",Ahti Hammar,4. heinäkuuta 1955
